UGL,Union Glacier Blue-Ice Runway,AQ
MEG,Malange,AO
XOF,Stratford International Rail Station,GB
MEP,Mersing,MY
AKV,Akulivik,CA
ANH,Anuha Island Resort,SB
YKJ,Key Lake,CA
YMG,Manitouwadge,CA
BDO,Husein Sastranegara Airport,ID
YUD,Umiujaq,CA
YFJ,Snare Lake,CA
DSY,Dara Sakor International Airport,KH
YPC,Paulatuk,CA
BDQ,Vadodara Airport,IN
LAK,Aklavik,CA
MEJ,Meadville,US
EWR,Newark Liberty International Airport,US
MEQ,Seunagan,ID
YXN,Whale Cove,CA
IUP,Lorenzo Airport,BR
MEU,Monte Dourado,BR
RLD,Richland,US
LEG,Aleg,MR
YSK,Sanikiluaq Airport,CA
MER,Castle AFB,US
MES,Polonia,ID
NOR,Nordfjordur,IS
YCK,Colville Lake,CA
MFG,Muzaffarabad,PK
MFI,Municipal,US
YSP,Marathon,CA
YST,Ste Therese Point,CA
YTA,Pembroke And Area Airport,CA
BXL,Blue Lagoon,FJ
YTQ,Tasiujuaq Airport,CA
COH,Cooch Behar,IN
DDD,Dhaalu Airport,MV
YTW,Yutian Wanfang Airport,CN
YGZ,Grise Fiord,CA
YLH,Lansdowne House,CA
DUN,Dundas,GL
YTL,Big Trout,CA
COK,Cochin International Airport,IN
DWF,Wright AFB,US
EFB,Eight Fathom Bight,US
JDE,Jiande Qiandaohu Airport,CN
CYA,Les Cayes,HT
MFK,Matsu Beigan Airport,TW
MEW,Mweka,CD
MFF,Moanda,GA
SPK,Sapporo	Metropolitan Area,JP
YVM,Qikiqtarjuaq,CA
MFS,Miraflores,CO
MFT,Machu Picchu,PE
WTC,World Trade Center,US
MBN,Mt Barnett,AU
MFQ,Maradi,NE
AGZ,Aggeneys,ZA
DBR,Darbhanga Airport,IN
DDC,Dodge City Municipal Airport,US
MFR,Rogue Valley International-Medford Airport,US
MZD,Mendez,EC
YPB,Port Alberni,CA
ZLT,La Tabatiere,CA
LPB,El Alto International Airport,BO
YNL,Points North Landing,CA
DIO,Diomede Island,US
YYL,Lynn Lake,CA
YYU,Kapuskasing Airport,CA
EEA,Aeroporto Regional do Planalto Serrano,BR
TKM,El Peten,GT
ERH,Moulay Ali Cherif Airport,MA
ERI,Erie International Airport,US
ERL,Eren Hot Airport,CN
EXT,Exeter International Airport,GB
FFA,First Flight,US
SUR,Summer Beaver,CA
XGL,Granville Lake,CA
NEI,Terney Airport,RU
LPF,Liupanshui Yuezhao Airport,CN
KES,Kelsey,CA
YSI,Sans Souci,CA
YTH,Thompson,CA
BYX,Baniyala,AU
CGA,Craig SPB,US
WHB,Eliwana Airport,AU
LPT,Lampang Airport,TH
LTK,Latakia,SY
ZGI,Gods River Airport,CA
MAW,Malden,US
AGL,Wanigela,PG
MAX,Matam,SN
BFB,Blue Fox Bay,US
YZP,Sandspit Airport,CA
YZT,Port Hardy Airport,CA
YTD,Thicket Portage,CA
ZPB,Sachigo Lake Airport,CA
MBA,Moi International Airport,KE
MGZ,Myeik Airport,MM
MHD,Mashhad International Airport,IR
OBA,Oban,AU
LBG,Le Bourget,FR
LBQ,Lambarene,GA
CGC,Cape Gloucester,PG
RNA,Ulawa Airport,SB
DLO,Dolomi,US
EYP,El Yopal Airport,CO
EYW,Key West International Airport,US
EZE,Ministro Pistarini Airport,AR
HCZ,Chenzhou Beihu Airport,CN
SDZ,Shetland Islands	Metropolitan Area,GB
BVD,Sea Port,US
MLH,EuroAirport Basel-Mulhouse-Freiburg,CH
ZST,Stewart,CA
DGE,Mudgee,AU
DGT,Dumaguete Airport,PH
DWN,Downtown Airpark,US
FNA,Lungi International Airport,SL
MNM,Menominee,US
MNO,Manono,CD
MQT,Sawyer International Airport,US
MHG,Mannheim Airport,DE
MHH,Marsh Harbour International Airport,BS
MHK,Manhattan Municipal Airport,US
MHQ,Mariehamn Airport,AX
YCQ,Chetwynd,CA
LDH,Lord Howe Island Airport,AU
YED,Namao Field,CA
MQQ,Moundou,TD
MQS,Mustique,VC
LOZ,Corbin-london,US
LPA,Gran Canaria Airport,ES
LOQ,Lobatse,BW
LPE,La Primavera,CO
LPI,Linkoping City Airport,SE
PRS,Parasi,SB
QJI,Heliport,GL
YAE,Alta Lake,CA
AFR,Afore,PG
AHI,Amahai,ID
CBZ,Cabin Creek,US
CMU,Chimbu,PG
FNB,Neubrandenburg,DE
FNC,Madeira Airport,PT
FND,Funadhoo Airport,MV
GOF,Goodfellow AFB,US
HHP,H K Heliport,HK
HLT,Hamilton,AU
MQU,Mariquita,CO
ADD,Addis Ababa Bole International Airport,ET
DVD,Andavadoaka,MG
MRB,Eastern Wv Regional Airport/Shepherd Field,US
MRO,Masterton/Hood Aerodrome,NZ
MRQ,Marinduque,PH
MTO,Coles County Memorial,US
MSO,Missoula International Airport,US
MSP,Minneapolis-St. Paul International Airport,US
MSQ,Minsk National Airport,BY
LPG,La Plata,AR
LPJ,Pijiguaos,VE
LPK,Lipetsk Airport,RU
JOC,Centerport Heliport,US
JSN,Sherman Oaks Heliport,US
YNF,Deer Lake/Stephenville,CA
YNR,Arnes,CA
YNE,Norway House Airport,CA
KKF,Kagvik Creek,US
LPO,Municipal,US
LPX,Liepaya Airport,LV
LPY,Loudes Airport,FR
OCC,Coca Airport,EC
OCH,A L Mangham Jr. Regional,US
KBK,Klag Bay,US
SGG,Simanggang,MY
DJU,Djupivogur,IS
DKA,Katsina,NG
HAE,Havasupai,US
HAP,Long Island,AU
HCB,Shoal Cove,US
ILY,Glenegedale Airport,GB
IMK,Simikot,NP
IMQ,Maku International Airport,IR
ABJ,Felix Houphouet Boigny Airport,CI
IXI,Lilabari Airport,IN
WNC,Naukati Bay SPB,US
JRD,Heliport,US
NBP,Battery Pk City/N. Cov,US
LQK,Pickens,US
LQM,Puerto Leguizamo,CO
LRB,Leribe,LS
LRT,Lann Bihoue Airport,FR
LRU,Municipal,US
IXJ,Satwari Airport,IN
AEK,Aseki,PG
ARL,Arly,BF
LRV,Los Roques,VE
LSB,Lordsburg,US
LSD,Blue Grass Station Army Heliport,US
LSK,Lusk,US
LSM,Lawas,MY
LSN,Los Banos,US
LSO,Talmont,FR
BWE,Braunschweig,DE
CHI,Chicago FSS,US
CKX,Chicken,US
LSQ,Los Angeles,CL
LSV,Nellis AFB,US
CRY,Carlton Hill,AU
CSL,O Sullivan Army Air Field,US
DMM,King Fahd International Airport,SA
ITO,Hilo International Airport,US
ITP,Itaperuna,BR
IWS,West Houston,US
IXA,Agartala Airport,IN
IXB,Bagdogra Airport,IN
IXC,Chandigarh Airport,IN
IXD,Bamrauli Airport,IN
IXE,Mangalore Airport,IN
IXK,Keshod,IN
MUV,Mustin Alf,US
LSW,Malikus Saleh Airport,ID
LSX,Lhok Sukon,ID
IXM,Madurai Airport,IN
AAT,Altay Airport,CN
ABB,Asaba International Airport,NG
YCV,Cartierville,CA
AFS,Zarafshan,UZ
AIC,Airok,MH
XYP,Avesta Krylbo,SE
TRP,Tree Point Heliport,US
LSZ,Losinj Airport,HR
LTA,Letaba,ZA
LTB,Latrobe,AU
LTC,Lai,TD
LTD,Ghadames,LY
LRF,Little Rock AFB,US
LTG,Langtang,NP
YMC,Maricourt Airstrip,CA
LSC,La Florida Airport,CL
LTI,Altai,MN
IXR,Birsa Munda Airport,IN
AGG,Angoram,PG
IXU,Chikkalthana Airport,IN
LSE,La Crosse Regional Airport,US
LSL,Los Chiles,CR
LSP,Josefa Camejo Airport,VE
CIV,Chomley,US
CLC,Metroport,US
CRJ,Coorabie,AU
CWS,Center Island,US
DMO,Sedalia,US
DRS,Dresden International Airport,DE
IXW,Sonari,IN
IXY,Kandla,IN
IXZ,Port Blair Airport,IN
JGA,Govardhanpur Airport,IN
JGB,Jagdalpur,IN
JGD,Jiagedaqi Airport,CN
NDP,Ellyson NAS,US
LSS,Terre-de-Haut,GP
LST,Launceston Airport,AU
LSY,Lismore Airport,AU
LVA,Entrammes,FR
JOJ,Doris Lake Aerodrome,CA
LUW,Bubung Airport,ID
LVB,Dos Galpoes,BR
LVL,Lawrenceville,US
LVM,Mission Field,US
LVS,Las Vegas,US
NIE,Niblack,US
JSH,Sitia Airport,GR
JSI,Skiathos Airport,GR
KAB,Kariba,ZW
LBE,Westmoreland County Airport,US
LBF,Lee Bird Field,US
ZFB,Old Fort Bay,CA
ALM,Municipal,US
AOL,Paso De Los Libres,AR
ASH,Boire Field,US
BGL,Baglung,NP
BGT,Bagdad,US
BJO,Bermejo,BO
CSW,Colorado do Oeste,BR
DAO,Dabo,PG
FCT,Firing Center AAF,US
FLU,Flushing,US
JCX,Citicorp Plaza Heliport,US
JHW,Jamestown Airport,US
JKH,Chios Airport,GR
JKL,Kalymnos Island National Airport,GR
JKR,Janakpur Airport,NP
AMU,Amanab,PG
AMY,Ambatomainty,MG
AOB,Annanberg,PG
DGA,Dangriga,BZ
ZFZ,Buffalo Depew Rr,US
LDI,Kikwetu,TZ
BOF,Bolling AFB,US
LDJ,Linden,US
LWK,Lerwick/Tingwall,GB
LDY,City of Derry Airport,GB
BAU,Bauru Airport,BR
DGK,Dugong,MZ
LEJ,Leipzig/Halle Airport,DE
COL,Isle Of Coll,GB
CUK,Caye Caulker,BZ
LPW,Little Port Walter,US
LFT,Lafayette Regional Airport,US
LTH,Lathrop Wells,US
LSR,Lost River,US
LWA,Lwbak,PH
ADC,Andakombe,PG
AFT,Afutara Aerodrome,SB
AGQ,Agrinion,GR
AGV,Acarigua,VE
AGX,Agatti Island Airport,IN
AIE,Aiome,PG
LXG,Luang Namtha Airport,LA
DOK,Donetsk International Airport,UA
DUS,Dusseldorf International Airport,DE
FIE,Fair Isle,GB
HDA,Hidden Falls,US
NQT,Nottingham Airport,GB
OHE,Mohe Airport,CN
OHH,Novostroyka Airport,RU
NWS,Pier 11/Wall St. SPB,US
WOO,Woodchopper,US
LXN,Lexington,US
TIS,Thursday Island,AU
LXR,Luxor International Airport,EG
DDI,Daydream Island,AU
DOI,Doini,PG
LXS,Limnos Airport,GR
LFW,Lome Airport,TG
LGA,LaGuardia Airport,US
LGB,Long Beach Airport,US
AIY,Bader Field,US
BAJ,Bali,PG
LGD,La Grande,US
LGG,Liege Airport,BE
LGI,Deadmans Cay Airport,BS
LGK,Langkawi International Airport,MY
LLE,Malelane,ZA
LXU,Lukulu,ZM
LLJ,Silampari Airport,ID
LXV,Leadville,US
SIL,Sila,PG
LLO,Bua Airport,ID
LLT,Lobito,AO
AKH,Prince Sultan Air Base,SA
YDH,Daniels Harbour,CA
AQM,Ariquemes,BR
ARP,Aragip,PG
ASE,Aspen Airport,US
ASG,Ashburton,NZ
ASQ,Austin,US
ASU,Silvio Pettirossi International Airport,PY
ATA,Anta,PE
ATT,Atmautluak Airport,US
AUE,Abu Rudeis,EG
AUW,Municipal,US
AUZ,Municipal Airport,US
AVI,Maximo Gomez,CU
HEL,Helsinki-Vantaa Airport,FI
JGC,Heliport,US
YDS,Desolation Sound,CA
BRR,North Bay Airport,GB
AED,Aleneva,US
YCJ,Cape St James,CA
YDK,Main Duck Island,CA
LLW,Lilongwe International Airport,MW
ONN,Onion Bay,US
PNS,Pensacola International Airport,US
PBA,Point Barrow,US
CWO,Ft Wolter AAF,US
YMR,Merry Island,CA
JRE,East 60th Street Heliport,US
YNK,Nootka Sound,CA
TEK,Tatitlek,US
LPL,Liverpool John Lennon Airport,GB
LPP,Lappeenranta,FI
AGM,Tasiilaq,GL
ATD,Atoifi,SB
AVK,Arvaikheer,MN
AVN,Avignon-Caumont Airport,FR
AYY,Arugam Bay SPB,LK
LPQ,Luang Prabang International Airport,LA
SJX,Sartaneja,BZ
SAH,Sana'a International Airport,YE
DGB,Danger Bay,US
FIV,Five Finger,US
FRP,Fresh Water Bay,US
SAL,El Salvador International Airport,SV
SAN,San Diego International Airport,US
CDZ,Cadiz,ES
AUB,Itauba Airport,BR
LPU,Long Apung,ID
PGP,Porto Alegre,ST
PID,Paradise Island,BS
LIJ,Long Island,US
PII,Phillips Field,US
SLZ,Marechal Cunha Machado International Airport,BR
SMF,Sacramento International Airport,US
LRA,Larisa,GR
LLU,Alluitsup Paa,GL
QNY,Marine Air Terminal,US
LRD,Laredo International Airport,US
SMS,Sainte Marie,MG
AUV,Aumo,PG
AVO,Municipal,US
AVV,Avalon Airport,AU
AWR,Awar,PG
AWZ,Ahwaz Airport,IR
DOF,Dora Bay,US
EMB,Embarkadero,US
SZC,Guanacaste,CR
EWD,Wildman Lake,US
HBC,Hanus Bay,US
SOO,Helsinge Airport,SE
SOE,Souanke,CG
STL,Lambert-St. Louis International Airport,US
STP,St. Paul Downtown Airport,US
STT,Cyril E. King Airport,VI
STV,Surat Gujarat Airport,IN
STX,Henry E. Rohlsen Airport,VI
SUB,Juanda International Airport,ID
SUE,Door County,US
SUF,Lamezia Terme International Airport,IT
SUG,Surigao Airport,PH
SXL,Sligo,IE
CIB,Ap In The Sky,US
TON,Tonu,PG
YNX,Snap Lake,CA
DDG,Langtou Airport,CN
DEI,Denis Island,SC
BAM,Lander County,US
PRF,Port Johnson,US
SKS,Vojens,DK
PTL,Port Armstrong,US
PVY,Pope Vanoy,US
SSW,Stuart Island,US
TNK,Tununak,US
LYN,Bron,FR
LYP,Faisalabad Airport,PK
SZF,Samsun-Carsamba Airport,TR
SZN,Santa Cruz Island,US
SZX,Shenzhen Bao'an International Airport,CN
LYS,Lyon Saint-Exupery International Airport,FR
AJN,Ouani,KM
AKM,Zakouma,TD
AXD,Demokritos Airport,GR
AYX,Gerardo Pérez Pinedo,PE
AZJ,Zhenjiang Dalu,CN
AZN,Andizhan Airport,UZ
AZO,Kalamazoo Battle Creek International Airport,US
BAI,Buenos Aires,CR
SVP,Kuito (Silva Porto),AO
SWD,Seward,US
SYH,Syangboche,NP
SYI,Bomar Field,US
SYJ,Sirjan,IR
SYM,Pu'er Simao Airport,CN
DGF,Douglas Lake,CA
BBY,Bambari,CF
BKA,Bykovo,RU
PNF,Peterson's Point,US
FAQ,Freida River,PG
QSG,Sonderborg,DK
RLA,National,US
SXC,Avalo Vor/WP,US
GLV,Golovin Airport,US
LZO,Luzhou Lantian Airport,CN
GST,Gustavus Airport,US
LZY,Nyingchi Mainling Airport,CN
MBJ,Sangster International Airport,JM
MBL,Blacker Airport,US
MBO,Mamburao,PH
BZS,Buzzards Pt S,US
BAO,Udorn,TH
BAQ,E Cortissoz Airport,CO
BAT,Airport Chafei Amsei,BR
BBJ,Bitburg Air Base,DE
BBP,Bembridge,GB
BBQ,Barbuda,AG
BBW,Broken Bow,US
BBX,Wings Field,US
BCA,Baracoa,CU
BCD,Bacolod-Silay International Airport,PH
BCF,Bouca,CF
BCV,Belmopan,BZ
BDG,Blanding,US
HIS,Hayman Island,AU
BFW,Sidi Belabbes,DZ
RWB,Rowan Bay,US
MSB,Marigot SPB,MF
MWP,Mountain,NP
LYB,Little Cayman Airport,KY
LYC,Lycksele Airport,SE
LYO,Lyons-Rice County Municipal,US
LYH,Preston-Glenn Field,US
MAA,Chennai Airport,IN
KFP,False Pass,US
KKA,Koyuk Airport,US
BGP,Bongo,GA
HCR,Holy Cross Airport,US
OCI,Oceanic,US
UQE,Queen,US
OHC,AFS,US
SCJ,Smith Cove,US
CFA,Coffee Point,US
KTN,Ketchikan International Airport,US
KAL,Kaltag Airport,US
KYK,Karluk,US
CWG,Callaway Gardens,US
HOM,Homer Airport,US
HPB,Hooper Bay Airport,US
HSL,Huslia Airport,US
AKN,King Salmon Airport,US
AKP,Anaktuvuk,US
BDL,Bradley International Airport,US
BDM,Bandirma,TR
BDP,Bhadrapur Airport,NP
BEA,Bereina,PG
BEG,Belgrad Nikola Tesla Airport,RS
BFL,Meadows Field Airport,US
BFN,Bram Fischer International Airport,ZA
BFS,Belfast International Airport,GB
IAN,Bob Baker Memorial Airport,US
SHX,Shageluk Airport,US
KPH,Pauloff Harbor SPB,US
AAG,Arapoti,BR
LUR,Cape Lisburne,US
OME,Nome Airport,US
LMA,Lake Minchumina,US
VCB,View Cove,US
OOK,Toksook Bay Airport,US
KPK,Parks SPB,US
SMK,St. Michael Airport,US
KUW,Kugururok River,US
PTH,Port Heiden,US
PTU,Platinum Airport,US
SKJ,Sitkinak Cgs,US
VKW,West Kavik,US
KPC,Port Clarence,US
WDB,Deep Bay,US
TGJ,Tiga,NC
CZO,Chistochina,US
MLY,Manley Hot Springs,US
MFA,Mafia,TZ
MFE,McAllen International Airport,US
LYK,Lunyuk,ID
LYR,Svalbard Airport,SJ
LYU,Ely,US
LYX,London Ashford International (Ferryfield),GB
LZA,Luiza,CD
ORT,Northway,US
OTZ,Ralph Wien Memorial Airport,US
AAO,Anaco,VE
AAR,Aarhus Airport,DK
AAV,Allah Valley,PH
NLG,Nelson Lagoon,US
AAY,Al Ghaydah,YE
ACA,Acapulco International Airport,MX
ACH,Altenrhein Airport,CH
ACX,Xingyi Airport,CN
BFV,Buri Ram Airport,TH
BGA,Palonegro International Airport,CO
BGD,Borger,US
LSI,Sumburgh Airport,GB
FIC,Fire Cove,US
RBY,Ruby Airport,US
XEO,Harbour,GL
PFD,Port Frederick,US
ABZ,Aberdeen International Airport,GB
XLF,Leaf Bay,CA
KSM,Saint Mary's Airport,US
TKA,Talkeetna,US
GBN,San Giovanni Rotondo,IT
FYU,Fort Yukon Airport,US
JNN,Nanortalik,GL
GAR,Garaina,PG
TNO,Tamarindo,CR
TNZ,Tosontsengel,MN
TOB,Tobruk,LY
BNM,Bodinumu,PG
BNZ,Banz,PG
BPD,Bapi,PG
CPN,Cape Rodney,PG
LZU,Gwinnett County Airport,US
MBP,Moyobamba,PE
MBQ,Mbarara,UG
MBT,Masbate Airport,PH
MBX,Maribor International Airport,SI
ACS,Achinsk,RU
ACZ,Zabol Airport,IR
AER,Sochi International Airport,RU
AES,Vigra Alesund Airport,NO
AFZ,Sabzevar,IR
AHO,Alghero-Fertilia Airport,IT
AHZ,Alpe D Huez,FR
AJL,Aizawl Airport,IN
MIN,Minnipa,AU
MIP,Mitspeh Ramon,IL
MIR,Habib Bourguiba International Airport,TN
MIT,Kern County,US
SCC,Prudhoe Bay/Deadhorse Airport,US
SLQ,Sleetmute,US
YCI,Caribou Island,CA
MIW,Municipal,US
MJB,Mejit Island,MH
YCX,Gagetown,CA
YDI,Davis Inlet,CA
BNT,Bundi,PG
BOT,Boset,PG
YJO,Johnny Mountain,CA
YAV,Miners Bay,CA
ELM,Elmira Corning Regional Airport,US
QJE,Heliport,GL
MJC,Man,CI
KKD,Kokoda,PG
KUY,Kamusi Airport,PG
KWO,Kawito,PG
AKJ,Asahikawa Airport,JP
GEI,Green Islands,PG
HTI,Hamilton Island Airport,AU
RBH,Brooks Lodge,US
AKL,Auckland Airport,NZ
MHT,Manchester Boston Regional Airport,US
IHU,Ihu,PG
YRE,Resolution Island,CA
TQL,Tarko-Sale,RU
YSR,Nanisivik,CA
BPB,Boridi,PG
MJF,Kjaerstad Airport,NO
YGS,Germansen,CA
BPK,Biangabip,PG
BTX,Betoota,AU
BUC,Burketown,AU
AKT,Raf Akrotiri,CY
BDW,Bedford Downs,AU
BGM,Greater Binghamton Airport,US
BGN,Belaya Gora Airport,RU
BGO,Bergen Airport,NO
BGS,Webb AFB,US
BGU,Bangassou,CF
BGV,Bento Goncalves,BR
BVI,Birdsville,AU
YBI,Black Tickle,CA
MJG,Mayajigua,CU
ZFL,South Trout Lake,CA
BLS,Bollon,AU
MJI,Mitiga Tripoli Airport,LY
MHW,Monteagudo,BO
YIO,Pond Inlet Airport,CA
MIA,Miami International Airport,US
EDA,Edna Bay,US
GCI,Guernsey Airport,GG
AKW,Aghajari,IR
TRS,Trieste - Friuli Venezia Giulia Airport,IT
LBV,Libreville Airport,GA
TRV,Trivandrum International Airport,IN
TRZ,Tiruchirapalli International Airport,IN
TSA,Taipei Songshan Airport,TW
TSB,Tsumeb,NA
TSC,Taisha,EC
TSD,Tshipise,ZA
TSE,Astana (Nursultan) International Airport,KZ
TBG,Tabubil Airport,PG
BQL,Boulia,AU
GIC,Boigu Island,AU
ALF,Alta Airport,NO
ALH,Albany Airport,AU
ANO,Angoche,MZ
BEW,Beira Airport,MZ
BGW,Baghdad International Airport,IQ
HBH,Hobart Bay,US
ISA,Mount Isa Airport,AU
LRE,Longreach Airport,AU
MYI,Murray Island,AU
MJL,Mouila,GA
BKO,Bamako-Senou International Airport,ML
MJM,Mbuji-Mayi,CD
MIC,Crystal,US
MID,Manuel Crescencio Rejon International Airport,MX
KAH,City Heliport,AU
LHG,Lightning Ridge,AU
ADX,Leuchars,GB
TSX,Tanjung Santan,ID
TTB,Arbatax,IT
DKL,Kiwigana Lodge Heliport,CA
BRZ,Borotou,CI
BSZ,Bartletts,US
AEH,Abéché,TD
ASR,Kayseri Airport,TR
AYN,Anyang Airport,CN
BHE,Woodbourne Airport,NZ
BHG,Brus Laguna,HN
BHJ,Rudra Mata Airport,IN
BHM,Birmingham-Shuttlesworth International Airport,US
BHN,Beihan,YE
BHQ,Broken Hill Airport,AU
BHT,Brighton Downs,AU
BHU,Bhavnagar Airport,IN
BVL,Baures,BO
EUA,Kaufana,TO
HIH,Hook Island,AU
HZK,Husavik,IS
MKL,Mckellar Airport,US
BXV,Breiddalsvik,IS
BAC,Barranca De Upia,CO
BIA,Bastia Poretta Airport,FR
BID,Block Island,US
BIE,Beatrice,US
YHI,Holman,CA
BIJ,Biliau,PG
YKL,Schefferville Airport,CA
MKO,Davis Field,US
MKW,Rendani Airport,ID
BIU,Bildudalur,IS
YKG,Kangirsuk Airport,CA
MKY,Mackay Airport,AU
SDO,Ryotsu Sado Island,JP
YAT,Attawapiskat,CA
KZH,Kizhuyak,US
YHK,Gjoa Haven Airport,CA
BJF,Batsfjord Airport,NO
BJI,Bemidji Airport,US
CVA,Civic Ar Heli,US
CZH,Corozal,BZ
FMC,Five Mile,US
HSC,Shaoguan,CN
YGY,Deception,CA
LCS,Las Canas,CR
LGZ,Leguizamo,CO
MLI,Quad City International Airport,US
MLN,Melilla Airport,ES
QPW,Heliport,GL
YLS,Lebel-Sur-Quevillon,CA
OUI,Ban Houei,LA
JPU,La Defense Heliport,FR
JWH,Westchase Hilton Heliport,US
PCE,Painter Creek,US
PFA,Paf Warren,US
MLO,Milos Airport,GR
EPI,Epi,VU
MLP,Malabang,PH
MNJ,Mananjary,MG
MNL,Ninoy Aquino International Airport,PH
MJQ,Jackson,US
FTL,Fortuna Ledge,US
BAG,Loakan,PH
BAH,Bahrain International Airport,BH
BAV,Baotou Airport,CN
BAX,Barnaul Gherman Titov International Airport,RU
BBR,Baillif,GP
BBS,Blackbushe,GB
BJL,Yundum International Airport,GM
BJN,Bajone,MZ
BJQ,Bahja Airport,OM
BJT,Bentota River,LK
BJV,Milas-Bodrum Airport,TR
YTC,Sturdee Valley Airport,CA
YMP,Port McNeil,CA
CCD,Century City,US
NES,East 34th St Landing,US
MST,Maastricht Aachen Airport,NL
YND,Gatineau Airport,CA
MSV,Sullivan County International,US
DJG,Inedbirenne Airport,DZ
AAL,Aalborg Airport,DK
ALT,Alenquer,BR
YNP,Natuashish Airport,CA
AYU,Aiyura,PG
MSY,Louis Armstrong New Orleans International Airport,US
YNC,Wemindji,CA
YXY,Whitehorse Airport,CA
POQ,Polk Inlet,US
RLU,Bornite Upper,US
MTH,Florida Keys Marathon Airport,US
